weight,delta,impact,new_weight
pld,-0.1,0.021722,0.2
pld,-0.05,0.010861,0.25
pld,0.05,0.010861,0.35
pld,0.1,0.021722,0.4
chemical_sim,-0.1,0.009384,0.15
chemical_sim,-0.05,0.004692,0.2
chemical_sim,0.05,0.004692,0.3
chemical_sim,0.1,0.009384,0.35
ph_stability,-0.1,0.069,0.1
ph_stability,-0.05,0.0345,0.15
ph_stability,0.05,0.0345,0.25
ph_stability,0.1,0.069,0.3
nh2_func,-0.1,0.025,0.05
nh2_func,-0.05,0.0125,0.1
nh2_func,0.05,0.0125,0.2
nh2_func,0.1,0.025,0.25
toxicity,0.05,0.0,0.0
toxicity,0.1,0.0,0.05
